,Description,magnitude,score
1453,"A pregnant cat use to come and eat together with my cat give birth to 3 kitten in a box which I purposely prepared for her in and empty cage.However 1 kitten died while its umblical cord still attached.The 2 kitten, a male and female are 1 month old and available for adoption in another 2 months time.Those insterested can contact me for reservation",0.8,0.0
1454,2 cute puppies looking for home,0.7,0.7
1455,"I have one DLH to let go.This kitty haven't been spayed.I am looking for cat lover that willing to become new owner for her.Shes have a medium temperament with stranger and very good temperament with her owner.Location: Pandan Jaya, Ampang.",1.6,0.3
1456,NORVU ADOPTED ALREADY...THANK YOU ALL FOR UR ATTENTION :)),0.3,0.1
1457,Black dog,0.0,0.0
1458,"I have 4 kittens, 3 already booked and left female kitten to adopt.very active and healthy.",0.2,0.2
1459,the dog was injured as bitten by German Shepherd.he was treated and now is very fine and healthy.I already have many dogs.I'm looking for owner who love animal.call me at.,2.2,0.2
1460,"Hi all, if you wish to adopt me, please call Carol",0.3,0.3
1461,"I have boxes laid out outside my porch and angry mummy cat decided to have their babies here.But as they grow older angry mummy cat decided to run away with 2 of the kittens and whats left is Amy and Rosie.I am guessing they are around 2 month old now.I actually rent a room in a terraced house and the house owner has shown his dissatisfaction in me keeping the cats.As much as I would love to keep both of them, i can't.Appreciate if Rosie and Amy could find a new and loving home.If you are wondering where the name came from intitially when they came I checked their bottoms i though they were females so they were named Amy and Rosie.Went to the vet once to have them dewormed and only was told they were Males.However names were kept as they share a very sentimental value.It is very appreciated that someone will be kind enough to adopt this 2 cute playful kittens, they are in a cage now but they are a joy to watch when you let them out running.They have a habit of following people's feet hehehe!Now feeding on kitten food and milk.Amy is the big naughty brother, super active and playful likes to climb cages and runs around like a mad man, Rosie on the other hand is much more submissive, enjoys to be pet still playful and a little bit clumsy.She fumbles and what not which is a joy to watch.Amy bullies Rosie a lot, and the thing is Rosie enjoys to be bullied.Everytime I seperate them when they start to wrestle Rosie will be the one tempting Amy to play but in the end is outwrestled.It's painful for me to let them go because in this 2 month there are some traces of affection but my current situation does not permit me keeping pets.I am a student renting a room in a house which my landlord forbids pets.Appreciate if someone could adopt and provide tender loving care.I am staying in Sunway, somewhere around Sunway Hospital.",9.5,0.0
1462,My spoil little baby Whatsapp/sms: Fatin,0.1,-0.1
1463,Almost 8 weeks old.Very active and has started with solid food.He's kitty litter trained.Loves to nibble on human toes.Adopter MUST neuter when he's at 4 - 6 months old.Call JAMES (English Only coz he's American :)or JUSTIN aka Me (I speak English and Malay),2.4,0.3
1464,"We rescued five puppies, 3 of them (in 1 cage) are 2 months old and 2 of them (in 1cage), are for adoption.All female babies.Since I already have 8 adult boys and girls at home, we can't keep them longer cz they are very playful and noisy.If anyone willing to adopt or foster them please contact us, .Its very urgent as our neighborhood already complaint to Majlis Perbandaran Klang.They came and warn us already...",1.0,-0.1
1465,Lucas is a tame &amp; friendly dog and will not bark unnecessary.The owner claimed that he is an obedient dog too.She has to re home him to a better family as she works more than 8 hours and does not have the time for him.Lucas is lonely and he deserves a loving owner who can spend time with him after work.Please let me know if you are keen to adopt and give Lucas a loving home.,2.3,0.2
1466,"Found her during my lunch time at kopi shop, Look like Dachshund mix pinches, she had a long body and mouth around 6 to 7kg very nice with people.Already send to vet for check up, just having a minor skin problem will recover back in a month.Just gave her a yearly 6in1 vaccineted and dewormed.The adopter much spaying her after adopted.Thanks.",2.0,0.2
1467,"found this beautifull puppy with a indian boy who is staying in a ppr flats ,he told us that he is taking the dog to leave it somewhere because his mum told him that she cant keep it as its a flats they were living in ,it has light brown eye and dull brown coat with white very cute hope he gets a good home .",0.1,0.1
1468,"Sweet &amp; Obedient Lucky is finding her forever home!She was rescued off the streets when someone was throwing stones at her!She is crate &amp; toilet trained; warm and fuzzy she loves following her humans around.She has large bone structures and will grow up to be a big dog!If you have the heart for her and can meet the basic requirements below, do drop me a message for a prospective interview :)Conditions of Adoption: 1) Must SPAY her when she matures (RM deposit will be collected &amp; returned upon spaying) 2) Adopter must send regular updates to rescuer 3) Must have time to spend with her and not kept in a cage",3.7,0.4
1469,"LASSIE usually has several Siamese cross looking cats for adoption- usually blue-eyed and primarily white with coloured tips, ranging in age from kittens on up.Adoption by donation but the shelter asks for assistance in covering the costs of vaccinations (35 RM per vaccine)",0.9,0.0
1470,Contact Susan +,0.0,0.0
1471,"she and her 4 siblings were rescued before been caught by MPPJ.She is a very sweet and quiet girl, very submissive, will be a good companion.",1.3,0.6
1472,"Sushi is rescued from a dump when she's around 2 months old and has been a good playful companion.She enjoys company and interaction, always up for a good game of fetch and loves running through fields.She is smart and knows basic commands like 'sit' and 'down'.",1.8,0.6
1473,"Hi, my cat need adoption since I have to move to Ipoh.For those interested please call me (sofia) at",0.5,0.2
1474,"I rescued her under a tree next to a paper box.No mother dog is around.I can't keep anymore dog as I already keeping two dogs and I do not own my staying space.Mimi is now staying in a fosterer home.I need to find Mimi a home soon as the fosterer can't foster her forever.Mimi is very playful happy dog, hoping someone can give her a forever home.",2.0,0.0
1475,There will be a spaying/neutering fees for the puppies adopted.,0.1,-0.1
1476,Puppy is newborn at my neighbourhood Damansara Utama by a black dog.The strays are in dire need of help as my community wanted to catch them all and put to Paws which has more dogs than they can handle and possible death threat.Puppy will be send to you if you are really a genuine adopter who can give him a good forever home.,1.3,0.4
1477,"Free adoption (Ipoh Area only) 1 male dog for adoption, around 10 month old.Please give me a warm and loving home!U must allow for home visit after adopted.Do not abandon.",1.2,0.1
1478,These two white kittens are found near my house.One irresponsible lady just left them on the street.They both are very cute.All white.I think they are mixed siamese..they got big ear.the female one is kinda sick.she sneeze and hv watery eyes.Please adopt them.they need new house with loving mummy or daddy.I hope they are not separated.So i encourage you to take both kittens together.My location is at Melaka.,4.1,0.0
1479,"Short tail BB, active, cute and adorable.Please give her a chance, to adopt it, u save 2 lives.1 is Machiato, and another 1 who replace her.We save the place for more.PLease contact me, June",1.4,0.2
1480,"A male and a female kittens looking for loving home, please contact me if you are interested!Thank you.",0.8,0.4
1481,"It is a nice and healthy dog.He is very cheerful.Besides, he is able to listen to the owner's instruction!",1.8,0.6
1482,"Looking for a good forever home ~ Nothing gets Bubble more excited than FOOD!He is most active at meal times.Other times, he is laid-back and just likes to chill.If you get a chance to meet Bubble, make sure u give him a good petting from head to rump.You will know what carpet smooth hair means.Needs to be maintained a special diet for his sensitive skin.Adoption fee applies, to reimburse vet bills.Vet checked and procedures done include blood test, heartworm test, luxating patella surgery, treatments for skin problem, neutering, etc.***If you think you are Bubbleâ€™s forever human, call to introduce yourself.Adoption fee applies.Home visit will be arranged with potential adopter.We are in KL.***",4.5,0.3
1483,"I rescued this absolute cutey as she was abandoned and lost.She is a free spirited dog who loves to run around and oh, she loves playing.For any willing adopter, I am willing to give a small cage, chain, some toys and plates.All I want is a good loving home for her.She should be a Mongrel btw,",3.3,0.4
1484,"The owner is moving back to states and is worried that the travel will hurt her.She is a lovely 9 year old Shepard mix who likes to be with people.She does not mind her alone time.She likes to talk to you.She enjoys children.She is up to date with her shots.# she is not thrilled with cats # she has been with the family since she was 2 months old. # she has fatty tumor on chest but vet says no problem # she likes to sit at your feet Maybe someone will help to give a home to a 9-year old dog, who came from the States and stayed in Malaysia for 2 years.Any questions email me: or call- (Robert Blatt)",3.4,0.2
1485,"I rescued her under a tree next to a paper box.No mother dog is around.I can't keep anymore dog as I already keeping two dogs and I do not own my staying space.Bobo is now staying in a fosterer home.I need to find Bobo a home soon as the fosterer can't foster her forever.Bobo is very shy but playful once she get to know you, less barking as well.Hoping someone can give her a forever home.",1.7,-0.1
1486,"Pls call if u are really interested.Conditions for adoption: 1.No unnecessary tying/caging up.2.Maintain medical needs (vaccinations, deworming, heartworm prevention etc.) 3.Neuter once old enough (approx 6 months).4.Puppy-proof your compound.5.Willing to train and tolerate typical puppy behaviour. 6.Love them unconditionally - puppies aren't toys, cherish them even after they outgrow their cuteness :)To help determine if you and the dog you're interested are suitable for each other please, email/text a brief intro of yourself, your experience with dogs if any, your household situation (what type of home you live in i.e. landed or apartment, whether you have other family members/friends living with you etc.) and any other pertinent info.",3.6,0.2
1487,"Rescued kitten was found wandering around the neighbourhood alone without a mum or sibblings.Looking for a caring and loving owner to take good care of him.If you are interested, please text or whatsapp me.",1.6,0.5
1488,"Searching for loving and caress owner to adopt them.Meet Rey &amp; Leia.Both are cheeky and playful girls..Already spayed and litter trained.Fees of RM70 for both cats consists of RM50 for spaying fee and RM20 to be donated to petfinder.Hurry, only available until 27th of April .Date posted: 18th of April",2.3,0.1
1489,"Harry is a gorgeous Schnauzer mix.He is about one year old, and has been neutered and vaccinated.He is very friendly, gentle and quiet, and loves humans.He also gets on well with other dogs and is well behaved around cats.Harry was found wandering alone, very thin and scared, on the University of Nottingham campus.He was either dumped or got lost, as he is obviously not used to surviving on the street.He is still recovering, so is still quite skinny and his fur is still growing back (he had mange, which has been treated, and lots of knots and dirt in his fur that had to be cut out).It may take a few weeks or months for him to grow all his fur back and look his best, but he is absolutely beautiful, with a lovely personality.He is free to a good home, preferably one where he is allowed inside and treated as part of the family.",5.8,0.4
1490,Duke is a loving Bullmastif that loves attention.We are migrating and no airline will carry him so we are looking for a loving home for him.He will only be available in oct/nov.as we are not ready to release him yet.,2.0,0.3
1491,"Thank you so much Angela :)Hi everyone, We have an adorable doggies for adoption to a loving home.We rescued her from an abandoned island in Melaka, Pulau Upeh.We do not know who irresponsibly put her there but heard from villages in the nearby area that she has been there for months and is very skinny.We went over and rescued her yesterday (4 April) and we're looking for a good permanent home for her.Both of us cant keep her as I'm based outstation now and my friend already has 4 doggies at home.She has good temperament and is very very very friendly and sayang.She loves car rides and loves to cuddle up with you to sleep.We've cleaned her and are feeding her good food now so she's on her way to perfect health.We are unsure of her actual age but recon she may be about 1 year.Please do contact us if you're able to give this darling girl a good home.Thanks Grace",6.2,0.4
1492,"Puppies rescued from ss23.All are healthy, dewormed, and vaccinated.",0.3,0.1
1493,"Yes, i am letting go my own semi long hair kittens for adoption.I realized that when i lost tracked my own cats DOB or when did I sent them for vaccination, I knew that I have more than enough cats to care.Manggish (mangosteen) and Manish (Sweet) are siblings.They are not neutered due to budget constraint.Appreciate for those who r interested to have them, will bear the cost of castration (RM50 each).I wish Manggish and Manish not to be separated by suitable adopter.They look alike, same color, same size and same gender :)How to differentiate them?..Manish have more greyish color on neck and chest..Manggish is a bit shy and that's why his picture is lesser than Manish.Seriously they are not for RESALE.",4.5,0.2
1494,"I helped my friend to keep this kitten as she could not find a home for it.It's mummy cat is a pure persian cat.I cannot keep it for long as my brother has asthma.It has been with me for three weeks now.It is a clean little thing and very friendly as well as attention-seeker kitty.Can someone adopt this cute bundle of fur?Adoption fee is not necessary.When contacting please provide your name, age, occupation, and where are you from and any children.Vivi must be allowed indoors and supervised if she is to be let out in the garden to roam for awhile.Students are not allowed to adopt Vivi.State your current experiences with cats as well.I will reconsider all interested not based on first come first serve basis.Hope you all understand, although my bro has asthma we still want the best for Vivi.",5.5,0.1
1495,"stray cat delivered at our terrace 2 lovely male kittens, they r so cute and adorable, playful.already trained to the toilet tray, not picky with any food.looking for permanent adopters, plz only locals",1.5,0.1
1496,Mainecoon mix domestic long hair Female 3 years about 7kg location: petaling jaya whatsapp:,0.3,0.3
1497,"Sweet, playful and friendly dog.He is going to be a perfect pet in the household.I am looking for a dog lover who can adopt and really take good care of the dog.",2.6,0.8
1498,Looking for kind-hearted owner to adopt this cute little lady.Very tame fellow and healthy.,1.1,0.5
1499,pls give her a sweet home.,0.6,0.6
1500,"There are 5 puppies found at my taman (Puchong).About 4 weeks old.3 males &amp; 2 females.They are now toilet train to pee and poo on newspaper.Adopter must have time to care for a puppy, as he is bound to cry for the first few days in a new home especially if there are no other dogs around.Also do bear in mind that growing up puppies will bite shoes and dig gardens so patience, love and training are necessary.Vaccination and neutering are compulsory, cost to be borne by adopter.Please call/whatapps the undersigned if u can give him a good home.Pearly Tung,",3.0,0.2
1501,"I am only a volunteer from Pawsmission dog shelter and I help photograph these dogs.However, my first impression of Linda is that she's really sweet and alert.She also seems very calm and quiet.A Black Beauty indeed :)For more info, please contact Mrs. Lai at",2.8,0.5
1502,"Maybe 1.5 months old She was found running around in Bukit Tinggi village running along a main road.Quiet throughout night as she slept in my room.Still chews a bit Mild manner and playful Not afraid of people Not toilet trained Healthy coat of fur Fur colour mixture of light brown, black with a touch of white fur",1.3,0.4
1503,Already found new owner :),0.5,0.5
1504,"Oscar is my loving doggie.Been with me since birth.I have no other choice but to get him a home...and family.I will be migrating and not able to take him...Oscar boy is a very loving dog (see pictures) and is very good with adults.He has been trained to guard my home and he is free to roam especially at night.He only poo &amp; pee on grass area.And loves food.He is fed with only Eukenuba(Lamb and Rice).He is a very smart dog since baby, he can different shade between races and bark if the person enter unnecessary.He barks diffrently/ loud and roaring especially strangers appears.He will appear to stranger as if he will bite if you step any closer to the compound.He is fully vacinated and has no health issue.maybe minor reddish skin if the weather is hot.Overall, he needs a home and family and a garden for him to roam.He is nottie at times, So Always keep the gate close at all times!!He loves to run out and roam and he is very bad with direction because he got lost once and i had to hunt for him.He is only very good guarding a home.He understand commands like wait, sit, up, hand, sit and wait (will i prepare his food.He will sit and watch but very nervous looks.and also &quot;quiet&quot; sometimes, he barks for attention and when he is very happy. :)NOTE : Oscar has everything, shampoo, bowl, comb collar, leash, and i will microchip him before the new home.Thats all...Do call / sms if interested.Amanda :.",9.6,0.1
1505,Rescued three kittens from the back lane.They always reproduce in large amounts.Looking for serious adopters only.Their mother is a Persian.They are crossbreed with Persians.,0.1,0.0
1506,Found them around my apartment.They are cute and quiet.And also their mother.Mother in kind of infection.Hope someone can adopt the poor little kitten and their mother.pls do whatsapp me if interest.,1.7,0.1
1507,Pls call PAWS @ for details.,0.0,0.0
1508,"Cute and intelligent, loves attention.Urgently seeking adoption, please contact SPCA Penang for futher inforamtion.If you are located outside of Penang, please contact your local animal shelters instead.We currently do not provide transportation of the animals to other states.",1.0,0.2
1509,"This gentle girl has been wandering around my office block for sometime.She is gentle and social.Whenever I approach her, she will start rolling on the floor around my leg.She is happy whenever I pat her head and scratched behind her ears.There is one time she wanted to follow me into my office lift and another time she wanted to climb up my car and follow me home.If you are willing to adopt this cat, I will bring it for spayed and clean it up before handing to you.",2.3,0.3
1510,"Snowy the miniature poodle is looking for new home, he loves companion, unfortunately as baby add into family we have no time for him, we hope he found his happiness again.Breeder PLEASE stay away from this dog!!contact/whatsapp if you commit to give him a happiness home :-)",2.0,0.5
1511,"I am a sweet and loving little girl who only needs a nice, warm and comfortable place to call my very own....Please Take Me Home!!",1.2,0.6
1512,Free adoption (Ipoh area) 1 female (Available) 3 male(adopted) Please give me a warm and loving home!U must allow for home visit after adopted.Do not abandon.,1.1,0.2
1513,"&quot;The 14 Wonders&quot; are fourteen friendly and curious cats.They answers to their name, love being around people, like taking strolls around the neighbourhood and demand cuddles and head scratches almost everyday.Additionally, they are all well behaved and litter trained.Requirements and preferences: - Bi-annual visits to the vet - Can be kept indoors or outdoors (preferably indoors) - Must be spayed / neutered - Please provide photo / video updates periodically.If you are interested and serious in adopting them, feel free to drop me a message.",2.3,0.3
1514,"Bootsy has an absolutely lovely character, she is playful and really good with children, who ever ends up with will be getting a friend for life.",0.9,0.9
1515,"Her name is Ori.I found her when i was having dinner at Oriental restaurant in Kepong.She came to me and jumped and sit on my lap.So i decided to bring her home temporarily and find her an owner to care for her.She looks like 4 Months old.Siamese breed i think so.She's cute, playful and manja kitten.Yes Ori is a straycat, but she's toilet trained, clever &amp; &quot;pembersih&quot;.My wish for her to be care of lovingly and protected.If you a cat-lover and want to adopt her or interested to know her, please (call) only - Thank you.",3.5,0.3
1516,"Leo was rescued from a construction site, he is an active n healthy puppy.Fully vaccinated n dewormed",0.5,0.2
1517,Cute puppy abandon by a shop owner.Looking for a new home.Dog ticks and fleas treated.Contact or Whatsapp :- Ms Poni,1.4,0.0
1518,"Someone left him (we call him Spotty for now: because of a brown spot on his white fur and a Letter Y visible on his head) outside the lawn area of my corner house (we assumed someone left him).He wouldn't leave the spot, so we brought him in to wash and feed him.We have another 9years old Mini Schnauzer at home, that is slightly not sociable, and due to our family work commitment, we can't take in another dog now.I have brought him for a check up: Vet puts him at about 1 month+ old, and dewormed him.To be observed for a week before his 1st vaccination.The fee of RM stated is just for these done, nothing more for benefit or anything else.He is teething now, and a very active boy.He seems to listen well to instructions (if being trained well), but sometimes stubborn when playful.He also seems like a smart boy, looking for his way out when we caged him temporarily to wash floor or clean up.Likes to run around and play.Vet says he will be a good guard dog.",4.0,0.1
1519,"Huff and Puff were found hiding under a car outside my home, with no parent in sight.Both are well behaved and have good toilet habits.Very intelligent and easy to train.Healthy and clean.Huff is solid black with a lovely shiny coat of fur.Very active and loving.Puff is white with black spots and a black 'mask', much like a Collie.Cool and clever.Best part?They.Love.Kids.Looking for loving family to give these 2 cuties a happy home.",8.4,0.6
1520,"Good day everyone, Schnauzer crossed terrier for adoption.Spayed and neutered.She is a friendly, lovable pet dog.She was rescued and has been sent for treatment to a vet clinic weeks ago.Being a very obedient dog, she is recovering very well and she need a home to be loved and cared.She is a schnauzer crossed silky terrier.This combination makes her the perfect dog for a house with a wide space with children to play with.Very easy to be trained and disciplined.Any generous people who wants to share your love for her can kindly contact me for an adoption.Let's make a difference with kindness.Thank you.Location: Shah Alam.",7.1,0.5
1521,Found them about 3 months ago in bushes Took care of them till I found that they're healthy and strong enough to let them go Reason to let go: I have so many cats to take care off I hope i'll find a good and loving owner for them They're so cute and lovely If interested feel free to contact me KL/Selangor area tq,0.9,0.9
1522,"Pure breed female high nose Persian about 6 years old, abandoned by owner after boarding.We will send her for spaying and she will be available for adoption after that.",0.7,-0.3
1523,Adopted.,0.1,0.1
1524,For any details call me at,0.0,0.0
1525,"- Found on 15/7/ roaming on Jalan Jejaka, Cheras (Kuala Lumpur) - T &amp; C for adoption:- 1) Must spay her when she's about 1yr old.2) Keep indoor &amp; not cage/chain.3) Bring for yearly vaccine &amp; medical when needed.4) Lots of TLC.",1.1,0.1
1526,"This cutie was found seriously sick two months ago, with eye infections and running nose.Now he is fully recovered and looking for loving forever homes.He is healthy, energetic and playful, estimated to be 2-3mths old.Looking for adopter who can promise to bring them to sterilisation and vaccination when they are 6mths old.Small adoption fee RM10 applies to deter irresponsible adopters.Money will be used to sterilise other cats.Having a pet is lifetime commitment, please plan and discuss with your family ahead before you make the decision.Meet up at kulai/Senai/Skudai, other JB area can be discuss.",4.9,0.1
1527,I love these wonderful cats that's why I want to find a good home for them.They are brother and sister and I want to keep them together.Maxi is really smart and Max II is really sweet.Looking for loving owner that can spend time with them to love and nurture them.I spend average RM to RM a month on them for Royal canine food and silica litter.I need to find an owner that can afford this please.They are due for annual vaccination and deworming.Thanks for looking!,4.0,0.3
1528,"Minie and her 2 sisters were being abandoned in a box in front of a clinic at Seri Kembangan, Selangor.About 1.5kg weight, healthy baby, no ticks/fleas.Her tail had been cut off when found.Please contact Mun or Mrs Tang if you can give her a loving home.Adopter is required to reimburse vaccination fee.",1.0,0.0
1529,"I need to re-home 4 cute kitten (2 male and 2 female)to any cat's lover.By the time I neuter the Male cat (Father) its too late and the Female already got pregnant this 4 cute kitten.There are all healthy, playful and active.It's FOC.",2.1,0.7
1530,"Bumped into this little fella after work while a few kids were teasing and trying to kick him/her... she have big golden eyes and purrs like Puss in Boots in Shrek...Am not too sure about the gender as I'm not really a cat person...She tends to cry from time to time, perhaps it's because she is bored in the cage (we have a dog running around the house so have to keep her in cage) or just plain scared in a new place...But it's not loud or too long, after crying for a few minute she will then be quiet sleeping or playing on her own...Her tail is a little bent on the tip but all else is healthy and fine...Her claws are pretty sharp and will use them if she is in shock (eg : showering, hair drying, dog got too close) but I guess cat lovers should already be aware of cat's sharp claws...other than that, she is pretty sweet and cute as she likes to play and purr... ^_^",3.2,0.3
1531,Please Contact: Ms Thila,0.0,0.0
1532,Owner has no time to look after her as they have too many dogs looking for a good home,0.1,0.1
1533,"BABY needs to be adopted pretty soon as being an active and overly playful male kitten, my two other female cats are feeling stressed (as diagnosed by the vet).However he's a great companion when I'm gardening.I sincerely hope he finds a good home soon.",2.1,0.5
1534,Adopted 2 puppies PF from Claireizumilim,0.0,0.0
1535,"i love kitties , please give me one",0.9,0.9
1536,She looks lost.A really sweet faced beauty.Lurking in our area these 2 days.Her coat is a beautiful mix colour with more white.,1.7,0.3
1537,"Lady and Hammer were born on the 1st April together with 5 other siblings that have been rehomed.Lady is gentle and obedient.Likes playing balls.Suitable for those who want a good companion.Hammer is a lovely cat which likes to have body contacts with human, likes sitting besides our feet.Yet it is a very independent kitten.Adopters are required to vaccinate and castrate the cats.",4.0,0.5
1538,"Founded at my office, very health &amp; active.Looking for owner!Kitten have grey eyes",0.6,0.2
1539,"Hi, if you wish to adopt me, please contact my rescuer Christine",0.2,0.2
1540,these kittens were abandoned behind vistana hotel near bukit jambul area and were rescued by a good samaritan,0.3,-0.3
1541,"Meet Melly, she is around 1 year old, female, spayed and vaccinated.Melly is affectionate, friendly and easy going.Gets along with other cats once she gets to know them.If you can be a responsible owner and give her a loving home, please contact.",2.5,0.6
1542,Giving away a cat that can't be adopt by the owner because of medical conditions.He needs a new home to live a happy life!,1.5,0.1
1543,"For adoption 1 Brown colour medium long hair kitten and 1 Brown colour short hair kitten which are 1 month old plus.No adoption fee.Found these kittens near my house and need them to be adopted.Just come and pick up the kittens for free.Kittens need home Urgently.Kindly call or sms me or email me or Whatsapp before you want to come to adopt the kitten.My address is 4, Jalan Tasik Prima 3/1A, Taman Tasik Prima Puchong.My no is.",2.3,0.1
1544,"Thony (named after St.Anthony), was rescued from an abusive owner who used to hit him daily with an iron rod &amp; a stick, after rescuing, I fostered him.He was found to have hookworms &amp; mange.Now all is gone thanks to proper medication &amp; special food.From an underweight 6 kg, he went to 7.2 &amp; now is a healthy 8.4 kg 5 month old, happy, healthy, playful pup, please open your hearts to this wonderfully adorable pup who will put a smile on anybody's face &amp; make anyone happy.Please call Miss Soo(strictly no sms)at.Thank you &amp; God Bless.",3.3,0.2
1545,"When I found Hiro,he almost hit by car at the center of the road at pandamaran klang...I pick it up and seacrhed ard the near the area to find his mother and his other brother and sister but I can't find it...I'm worry his safety if leave him alone there, therefore I decided to bring bck Hiro..here Im looking a serious adopter for Hiro bcos I hv 5 dog in my house..I'm worry my neighbour will complaint abt it...if anyone kindheart and serious abt adoption out there pls msg,sms or call me Lau )...hopely Hiro can found someone who can give love,care and warm house to Hiro as soon as posible",0.8,0.8
1546,Two male pups wander into an empty building for shelter from the night's rain.Found and kept now by a burmese contractor nearby.Do need a home for them.Shah Alam/Klang,0.9,0.0
1547,"Meet Xiao Wu Wu, a sweet cutie pie looking for a forever loving home to go to.He is about 8 months old, sweet natured, loving and tender.Neutered and vaccinated.Currently in foster care.would make a great pet companion.Please give Xiao Wu Wu a chance to be your pet and at the same time save a life!Interested please contact.Thank You!",3.9,0.4
1548,"Good day.I am a dog lover who wants a dog to have a good home, good care, and a decent shelter and a generous human attention.Recently my dog gave birth to 4 healthy puppies.Father is a mongrel and Mum ( my dog ) is a Cross Breed retriever.All the puppies are now around 2 months + old and have stop to breastfeed on the mother.We would like to give them a good home however, our home has already running out of space to make space for 4 more puppies.Therefore, this is the reason why I am writing to you, hoping you could take the puppies in and put them up for adoption.My parents are going to send them away very soon because they are growing big very fast.Could you advice me the process, charges and so forth?I look forward to hear from you.Attached are some pictures of the puppies.",3.8,0.1
1549,"Hi my name is momo, im a very active and playful puppy, i need home, pls adopt me...",0.6,0.6
1550,"Coco is just like his brother, Mango in looks and also character.Not too playful not too timid.Obedient and affectionate.Likes human contact.The reason I am giving him away is because I have too many cats to take care of.If interested please whatsapp me Whatsapp or messages only, calls will not be entertained.",2.8,0.2
1551,"there are 4 kittens my friend have found them motherless , they are totally healthy and active, eating everything and waiting to find a new home, Please contact Susie Whatsapp or telgeram",0.4,0.4
1552,Female puppy about 2 months old.Very friendly and active.Very clean and healthy.,1.9,0.6
1553,"Hi, if you wish to adopt me, please call Carol",0.3,0.3
1554,I really hope she will be very fine there!!,0.5,0.5
1555,The cat was rescued when he was roaming the streets at age 2 months and is looking for a new home as the owner is moving back to his hometown in the USA.His colour is calico stripes,0.1,0.0
1556,"Im looking for a good owner to adopt this 3 kittens, 2 male and 1 female.I would really appreciate if someone can adopt the kittens with the nursing mom as well.I really need a big help on this as i cant fully occupied my time, thanks.",0.8,0.4
1557,Cute siamese kitten,0.6,0.6
1558,"Hi all, im helping out a fren's fren to give out her dog as she is moving to outstation...so she wont b able to take d dog with her... d dogs r a mix pug &amp; poodle...so they r adorable...&amp; they r finding for a loving home...pls do let me knw if u r interested in giving them a loving home....location is in malacca ya...thanks so much!",1.6,0.8
1559,found the mother pregnant and gi gave birth to three healthy kittens about w2months ago.,0.1,0.1
1560,"Splat is quite a shy girl.She just needs a new, kind and loving home to look after her.",1.0,0.5
1561,"Owner could no longer keep these 2 siblings and they are currently looking for a good home.They are playful and active.They response to masuk(to go in their cage), sit and will bark at strangers outside the house.",1.3,0.1
1562,"Please contact us to adopt this puppy, or visit our PAWS shelter to check out this and other adorable pets!!",0.7,0.7
1563,My brother received this dog from his friend.,0.1,0.1
1564,"Any further enquiries, pls call.Tq",0.5,0.2
1565,"He is healthy, looks handsome and good jumper.",0.9,0.9
1566,Doberman age 3yrs old,0.1,0.1
1567,U must be from ipoh and allow for home visit after adopted.Do not abandon without approval,0.2,0.1
1568,"The cat is actually born from stray mama cat (rescued duirng PetKnode case last year) Quite playful but a little bit naughty.Always stay quietly like her mama cat Need new adopter coz have too many cats now, and limited financial to maintaining them Any donation/fee will be used to snip program for other cats that under my care",1.4,0.7
1569,"Active &amp; Manja breed.Responds to wait&amp;okay (feeding time), sit, &amp; quiet (sometimes) instructions",1.0,0.5
1570,Born 26/7/ Location: Taiping Contact details - Hwa 7 Puppies - 4 males and 3 females,0.1,0.1
1571,"Sandy is a rescue dog.Whilst with me she has been socializing well with my other dog however is not too comfortable around cats.She has had a thorough vet checks and is now in great health and ready to find a forever home.She is happy, energetic and affectionate.",2.2,0.4
1572,"Hi , I may look quiet , but I m very smart , my name suggests.I m from a batch of nine mixed breeds , bro n sis , in the care of foster mother , ms saw .Will you adopt me ?I can be easily be pick up by dear adopter at around.Sg.Long , stare at me , I got beautiful eyes n reddish nose .Santa would hv love me .",3.1,0.4
1573,Name: Jazz Age: 3 months Sex: Female 1st vaccination &amp; deworm Skillful to catch ball &amp; stick,0.3,0.3
1574,I just help to post on behalf Please contact Mr Leong direct -,0.0,0.0
1575,"Mama cat giving birth at my office.Now left one still staying here, will appreciate some one out there willing to give her a forever home .Very playful kitten , no experience handling with stray cat.Willing to bear the spay cost.",1.2,0.2
1576,"Currently fostering mixed breed puppy.Very friendly, easy trained.Now learning how to pee on newspaper. :) he looks like pit bull mixed breed puppy.Please contact me Jane if u interested in adoption.or ms.Yageenevi",2.1,0.3
1577,"Anyone please help.I cannot take in this 2 puppies anymore.My whole family are against me not surrendering the puppies to SPCA/PAWS.it's been around 7-8 months that the puppies are with me.I cant afford to take care of them anymore because of my busy schedules and my family is not supportive of me keeping the puppies.Most of the time, my family members would suggest me to throw the puppies somewhere far from home or surrendering the puppies to SPCA/PAWS.Neighbours starting to complaint that my puppies are noisy.I'm really very stress up now.Having to argue almost everyday with my family is making me really very tired.The puppies do not trust human easily.They are quite timid.idk why.the puppies are very good in expressing their love.they very manja also.Muffin is very obedient.She dont simply run out from the house.she's a small eater.she's very gentle.She has curly fur. :)Pudding is very active.This fella love to go out somewhere to exercise.He's an attention seeker.He's also very obedient.everytime when he ran out from the house, i just have to call &quot;PUPPY&quot; then he'll be back in minutes.He's very alert to his surrounding.",9.0,0.1
